ID,Description,GeneRatio,p.adjust,Count,geneID
hsa05166,Human T-cell leukemia virus 1 infection,42/712,0.0002944869562994,42,NFKBIA/NFKB2/MMP7/RELB/HLA-B/IL2RG/SMAD3/HLA-F/HLA-A/STAT5A/HLA-C/ICAM1/B2M/TNF/ETS1/NFKB1/CREB3L1/HLA-DRB1/HLA-DRA/CREB3L2/MAP3K1/JAK1/ADCY5/FOS/MAD2L1/PRKACB/CDKN2B/TGFBR1/CD40/CSF2/IL1R2/NFATC2/IL15RA/PIK3CD/E2F2/CREB5/NFATC4/HLA-DRB5/LCK/NFATC1/TERT/IL15
hsa00140,Steroid hormone biosynthesis,14/712,0.0004352210051163,14,UGT1A6/AKR1C3/AKR1C2/AKR1C1/UGT1A5/UGT1A7/UGT1A4/UGT1A3/UGT1A9/RDH5/UGT2A3/UGT2B17/CYP1A1/CYP3A4
hsa05133,Pertussis,18/712,0.0005365689981785,18,CXCL8/C3/IRF1/TNF/NFKB1/TICAM1/IL23A/ITGAM/FOS/TLR4/MAPK11/C4BPB/C5/NOS2/CXCL6/CASP1/CD14/IL1B
hsa04650,Natural killer cell mediated cytotoxicity,21/712,0.0005798480856698,21,HLA-B/IFNGR1/PRKCG/HLA-A/IFNGR2/HLA-C/ICAM1/TNFRSF10B/TNF/TNFSF10/ICAM2/IFNAR2/BID/RAC2/CSF2/NFATC2/PIK3CD/VAV1/LCK/NFATC1/KLRK1
hsa05144,Malaria,10/712,0.0006097010683882,10,CXCL8/ICAM1/TNF/THBS2/TLR4/TLR2/CD40/CCL2/IL1B/KLRK1
hsa05416,Viral myocarditis,15/712,0.0008022676873191,15,HLA-B/HLA-F/HLA-A/HLA-C/ICAM1/CAV1/HLA-DRB1/HLA-DRA/BID/RAC2/CD40/SSPN/HLA-DRB5/DMD/LAMA1
hsa04151,PI3K-Akt signaling pathway,48/712,0.0008022676873191,48,LAMC2/LAMA3/IL2RG/ITGAV/LAMB3/COL9A2/ITGA2/CSF1/ITGB8/ITGA3/LAMA5/NFKB1/TGFA/LAMC1/CREB3L1/PDGFB/ITGB6/IFNAR2/IL4R/FOXO3/CREB3L2/JAK1/PCK1/THBS2/VEGFA/NTRK2/LPAR2/COL6A1/EIF4EBP1/TLR4/MYB/TLR2/LAMA4/FGF2/EFNA1/F2R/COL1A1/PIK3CD/FGF19/CREB5/IL6R/PRLR/TNXB/PDGFC/LAMA1/IL7/FGF18/ITGA9
hsa04630,JAK-STAT signaling pathway,24/712,0.0008769010299665,24,IL2RG/IFNGR1/IFNGR2/STAT5A/IL6ST/STAT3/PDGFB/IL23A/IFNAR2/IL4R/JAK1/CISH/CSF2/IL27RA/IFNLR1/CLCF1/IL15RA/IL22RA1/PIK3CD/IL6R/PRLR/IL7/IL15/SOCS2
hsa05161,Hepatitis B,32/712,0.0008771981457341,32,NFKBIA/CXCL8/SMAD3/PRKCG/STAT5A/STAT3/IKBKE/TNF/TRAF3/NFKB1/HSPG2/TICAM1/CREB3L1/CREB3L2/MAP3K1/BID/JAK1/RIGI/FOS/TLR4/TLR2/TGFBR1/IFIH1/MAPK11/NFATC2/PIK3CD/E2F2/CREB5/NFATC4/TLR3/NFATC1/EGR3
hsa05142,Chagas disease,21/712,0.0009317221475602,21,NFKBIA/CXCL8/IFNGR1/C3/IFNGR2/CFLAR/TNF/NFKB1/TICAM1/FOS/TLR4/TLR2/TGFBR1/MAPK11/GNA15/CCL2/BDKRB2/PIK3CD/NOS2/IL1B/TLR6
hsa04658,Th1 and Th2 cell differentiation,18/712,0.0009317221475602,18,NFKBIA/IL2RG/NFKBIE/IFNGR1/IFNGR2/STAT5A/NFKB1/HLA-DRB1/IL4R/HLA-DRA/NFKBIB/JAK1/FOS/MAPK11/NFATC2/HLA-DRB5/LCK/NFATC1
hsa05152,Tuberculosis,29/712,0.0009553497377472,29,CD74/IRAK2/IFNGR1/C3/IFNGR2/TNF/CTSS/CORO1A/NFKB1/IL23A/HLA-DRB1/HLA-DRA/BID/ITGAM/JAK1/RFX5/PLA2R1/TLR4/TLR2/CEBPB/MAPK11/SPHK1/CIITA/HLA-DRB5/NOS2/CD14/IL1B/TLR6/CAMK2B
hsa05207,Chemical carcinogenesis - receptor activation,34/712,0.0010327016385601,34,PRKCG/STAT5A/UGT1A6/STAT3/IKBKE/GSTM4/NFKB1/CREB3L1/ARRB2/PAQR5/CYP2B6/CREB3L2/ADCY5/VEGFA/UGT1A5/FOS/UGT1A7/UGT1A4/UGT1A3/UGT1A9/PRKACB/EIF4EBP1/UGT2A3/FGF2/UGT2B17/CYP1A1/PIK3CD/EPHX2/GSTM2/CYP3A4/CREB5/GSTA1/EPHX3/FGF18
hsa04978,Mineral absorption,14/712,0.0011467164125796,14,ATP1B1/ATP2B4/MT1E/SLC5A1/MT1G/MT2A/STEAP1/STEAP2/MT1A/MT1X/SLC6A19/TRPM6/SLC34A3/ATP1A3
hsa05204,Chemical carcinogenesis - DNA adducts,14/712,0.0011467164125796,14,UGT1A6/GSTM4/AKR1C2/UGT1A5/UGT1A7/UGT1A4/UGT1A3/UGT1A9/UGT2A3/UGT2B17/CYP1A1/GSTM2/CYP3A4/GSTA1
hsa04940,Type I diabetes mellitus,9/712,0.0012309415870599,9,HLA-B/HLA-F/HLA-A/HLA-C/TNF/HLA-DRB1/HLA-DRA/HLA-DRB5/IL1B
hsa05418,Fluid shear stress and atherosclerosis,27/712,0.0013491790350122,27,SQSTM1/ITGAV/SDC4/ICAM1/TNF/CTNNB1/GSTM4/NFKB1/ASS1/CAV1/PDGFB/NOX1/KLF2/EDN1/VEGFA/CAV2/FOS/RAC2/MAPK11/DUSP1/IL1R2/CCL2/PIK3CD/GSTM2/GSTA1/NCF2/IL1B
hsa05165,Human papillomavirus infection,50/712,0.0017176401810222,50,LAMC2/LAMA3/HLA-B/ITGAV/LAMB3/HLA-F/HLA-A/IRF1/COL9A2/ITGA2/HLA-C/ITGB8/IKBKE/TNF/ITGA3/CTNNB1/TRAF3/LLGL2/LAMA5/NFKB1/LAMC1/TICAM1/CREB3L1/ITGB6/IFNAR2/WNT4/CREB3L2/JAK1/FZD7/FOXO1/THBS2/VEGFA/COL6A1/PRKACB/EIF4EBP1/MX1/LAMA4/PTGER4/WNT10A/COL1A1/PIK3CD/CREB5/LFNG/ISG15/TLR3/TNXB/WNT7A/LAMA1/TERT/ITGA9
