GeneID,Symbol,log2FoldChange,padj,pvalue,regulation,baseMean
80217,CFAP43,-0.453581319709626,0.482501119769081,0.301355178998227,Not significant,16.4176943695
158399,ZNF483,0.233883736385064,0.482509515001048,0.301414753455332,Not significant,60.4464589225527
9476,NAPSA,-0.348383802623862,0.482716959651106,0.301573627807756,Not significant,29.8822527121215
29101,SSU72,-0.0561499093998715,0.482736452984068,0.301615094820406,Not significant,1845.96677498356
57558,USP35,0.115945015825465,0.482838992419158,0.301708456675459,Not significant,255.418996043597
4882,NPR2,-0.147430748738954,0.483031983516427,0.301858356402087,Not significant,152.385101636793
81554,RCC1L,-0.0569164580668247,0.483192932987884,0.30201757041871,Not significant,1675.26897823164
140775,SMCR8,0.0732578908332002,0.483192932987884,0.301994234229818,Not significant,794.183486066362
154075,SAMD3,-0.501913096418417,0.483195361257253,0.30207772129564,Not significant,12.5209498653128
63977,PRDM15,0.134131139816982,0.483195361257253,0.302057577116617,Not significant,199.241507000847
107133515,SMURF2P1-LRRC37BP1,-0.107312703197722,0.483203640153861,0.302112214038681,Not significant,304.689825610214
4056,LTC4S,0.386076582315435,0.483293015110751,0.302256061143164,Not significant,24.5733685418267
100310756,LOC100310756,-0.129545681850814,0.483293015110751,0.302234275238918,Not significant,207.113288576415
54799,MBTD1,-0.101163808188783,0.483293015110751,0.302226597982885,Not significant,364.020282610323
57089,ENTPD7,0.0948382124296793,0.483613379591189,0.302485762055914,Not significant,402.855160443765
101928421,LOC101928421,-0.614289683974455,0.483751544898744,0.302630880927736,Not significant,8.67767884564153
100616414,MIR4761,-0.106395982996196,0.483751544898744,0.302611463614547,Not significant,303.937608044519
10693,CCT6B,-0.47186315659257,0.483930171971472,0.302771989647483,Not significant,13.9009933435387
29893,PSMC3IP,-0.118596914347866,0.484371944500297,0.303077773548815,Not significant,239.566631856716
107985367,LOC107985367,0.195926911317487,0.484402444248526,0.303126273892025,Not significant,83.8513908943686
51121,RPL26L1,-0.0908693793811782,0.484402444248526,0.303155637205651,Not significant,475.570946233196
2869,GRK5,-0.160784564423224,0.484415231103256,0.303274942011285,Not significant,147.644165209077
283455,KSR2,-0.308685349477777,0.484415231103256,0.303281201902348,Not significant,33.8436337925049
400224,PLEKHD1,0.302673994352754,0.484415231103256,0.303247068928888,Not significant,35.987805228293
583,BBS2,-0.0672447609455067,0.484415231103256,0.30327410377498,Not significant,898.416925352455
105371755,LOC105371755,0.250204833916801,0.484500108813527,0.303363737589831,Not significant,51.1795947721206
8718,TNFRSF25,-0.102512644469209,0.484519211918632,0.303405095632338,Not significant,381.313842127436
23142,DCUN1D4,-0.0833997500981009,0.484623204396365,0.303535586020932,Not significant,577.879304858312
107986373,LOC107986373,0.508474399606269,0.484623204396365,0.303558425081184,Not significant,12.3570434551497
23087,TRIM35,0.0895910220839842,0.484623204396365,0.303544249978107,Not significant,449.072927302064
84885,ZDHHC12,-0.0698553755293445,0.48520978574774,0.303955286849012,Not significant,850.327415756977
23673,STX12,0.0686497130954578,0.485276827067378,0.304026727114291,Not significant,826.971255274302
84278,MFSD14CP,0.163083034734107,0.485374100998298,0.304133760356649,Not significant,127.31782630601
283985,FADS6,-0.391200282040306,0.485374100998298,0.304146566867518,Not significant,20.4028016972751
286102,TMED10P1,0.312849315162507,0.485383681984602,0.30418201985311,Not significant,32.2184173232166
84518,CNFN,-0.192562391683251,0.48557393669413,0.304330710232397,Not significant,86.5664467010535
6625,SNRNP70,0.0413679616104567,0.485676589903172,0.304424514639587,Not significant,5773.72944134186
101927631,ADNP-AS1,0.335933242828358,0.485685667283782,0.304459672028639,Not significant,29.551447078297
105369201,GCAWKR,0.307078695374474,0.486033774615478,0.304727984900085,Not significant,35.086804311801
90701,SEC11C,-0.0815080483222959,0.486033774615478,0.304766017547837,Not significant,874.406159468185
7561,ZNF14,-0.240583306763442,0.486033774615478,0.304766354850805,Not significant,55.6117298695729
115072896,SLCO1B3-SLCO1B7,0.269823410534355,0.486138741315978,0.304861669108236,Not significant,42.634954406058
64763,ZNF574,-0.0852066631068068,0.486525447079854,0.305133694118703,Not significant,511.902127833068
147645,VSIG10L,0.221207991103872,0.48680852334831,0.305340766555929,Not significant,68.9107447500754
8310,ACOX3,0.105705837285076,0.486875377033236,0.305412238996883,Not significant,315.270621763382
56897,WRNIP1,-0.0565489590150404,0.486886299304777,0.305448630919269,Not significant,1522.98613038883
83734,ATG10,-0.155113524101906,0.487200384499106,0.305691356125254,Not significant,135.810535606575
100128292,DLG5-AS1,0.508031107555738,0.487200384499106,0.305704791681213,Not significant,12.8092221442796
55023,PHIP,-0.0729359855006882,0.487208959524301,0.305739732335872,Not significant,717.974439931834
91750,LIN52,-0.156496532992469,0.487324821787904,0.305842006830122,Not significant,137.190102585375
605,BCL7A,0.111660165705265,0.487465797077403,0.305960057685095,Not significant,296.276365214871
10044,SH2D3C,0.57805778623981,0.487617613241363,0.306100254279391,Not significant,10.5144523319302
79684,MSANTD2,-0.121067959540984,0.487617613241363,0.306114515484066,Not significant,251.680241790305
81689,ISCA1,0.0718832578430734,0.487737510736958,0.306219376356391,Not significant,743.677304298595
101927437,CLYBL-AS3,-0.269334008557073,0.487850694425321,0.306349635196097,Not significant,45.2838461144814
84464,SLX4,-0.0984215970753031,0.487850694425321,0.306345164701451,Not significant,376.47999701484
91734,IDI2,-0.322978356357509,0.487867097609386,0.306389535696806,Not significant,30.8307796747018
9859,CEP170,0.105221226411345,0.488147853321942,0.306641295557642,Not significant,298.735894838387
84961,FBXL20,0.122317581376698,0.488147853321942,0.306645526208568,Not significant,285.79247263089
101927574,LINC01186,-0.430181189932139,0.488147853321942,0.306654706546256,Not significant,17.6089311113175
347862,GATD1,-0.0564191410258482,0.488191489008367,0.306711738179932,Not significant,1737.38500488008
205564,SENP5,0.106567421576345,0.488459005956772,0.306909444587327,Not significant,319.1040377642
284021,MILR1,-0.360531620490861,0.488498395912553,0.306963832451542,Not significant,23.651527794387
107986127,LOC107986127,0.301752100227452,0.488696414940586,0.307117914449374,Not significant,36.1600617048416
100533111,ZNF670-ZNF695,-0.324646501971593,0.48879631984899,0.307234136407294,Not significant,29.2777597138742
387893,KMT5A,0.0745295946669934,0.48879631984899,0.307240011748303,Not significant,866.521575653393
100289187,TMEM225B,0.127454905704603,0.488807307730458,0.307276575378915,Not significant,200.721173611379
59269,HIVEP3,-0.0935309955989165,0.488808398873676,0.307306918403655,Not significant,386.773335917136
441172,NHSL1-AS1,-0.381745348815675,0.489074483785426,0.307503875468291,Not significant,22.2011259925314
105377486,FHIP1A-DT,0.238846014225351,0.489590080048181,0.307857759350767,Not significant,55.9114287650691
51078,THAP4,-0.0647830994246495,0.489593618051688,0.307889688818453,Not significant,962.261626791827
102723897,WASH9P,0.077934523830848,0.489720163638592,0.308058406540767,Not significant,663.61038638004
57448,BIRC6,0.059147283339767,0.489720163638592,0.308057989123782,Not significant,1366.81704445493
487,ATP2A1,-0.250393870210336,0.489720163638592,0.308051214278245,Not significant,56.2076055241927
64951,MRPS24,-0.0838609387613212,0.489735149175748,0.308097546523682,Not significant,531.340579266024
3635,INPP5D,-0.193718938451851,0.48985283584323,0.308342628522952,Not significant,84.656984666241
10855,HPSE,-0.148993948980433,0.48985283584323,0.30834990728513,Not significant,142.678112571188
154807,VKORC1L1,-0.0621628231587644,0.48985283584323,0.308220371468165,Not significant,1100.27187607492
84989,JMJD1C-AS1,-0.328876317453042,0.48985283584323,0.30827068662662,Not significant,29.4886348293565
6253,RTN2,-0.151226332591641,0.48985283584323,0.308337033226574,Not significant,143.633829930662
105373335,LOC105373335,-0.312900207169073,0.48985283584323,0.308312278954107,Not significant,31.0176539147008
6884,TAF13,0.105243966812876,0.489853193388949,0.308379852845755,Not significant,307.198610094296
7466,WFS1,0.070633739096387,0.489970410953886,0.308483373041407,Not significant,951.894985472232
10105,PPIF,-0.0613058147279526,0.49008244616457,0.308583644357232,Not significant,1371.99278941196
100288198,HMGN3-AS1,0.121512507904104,0.490367175279249,0.308794548242308,Not significant,237.148707683367
25771,TBC1D22A,0.0694753358586498,0.490367175279249,0.308822429280343,Not significant,842.772291446999
6425,SFRP5,0.473923611336185,0.49045288096514,0.308935918588769,Not significant,15.1336152427776
